Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,326.796783,334.409424,326.511505,333.038025,333.038025,7345600
2012-01-04,332.847839,335.460449,330.640656,334.474487,334.474487,5722200
2012-01-05,331.396393,332.317322,328.443451,329.834839,329.834839,6559200
2012-01-06,329.904907,330.330322,325.220215,325.335327,325.335327,5380400
2012-01-09,323.573578,323.823822,310.925934,311.541534,311.541534,11633500
2012-01-10,315.190186,317.217224,308.763763,311.881897,311.881897,8782400
2012-01-11,312.062073,315.010010,310.870880,313.293304,313.293304,4795200
2012-01-12,315.925934,316.761749,313.563568,315.135132,315.135132,3746600
2012-01-13,313.443451,313.788788,310.840851,312.807800,312.807800,4609900
2012-01-17,316.306305,316.306305,313.153168,314.604614,314.604614,3814700
2012-01-18,313.628632,317.317322,311.371368,316.771759,316.771759,5517800
2012-01-19,320.815826,320.815826,316.046051,320.105103,320.105103,12597900
2012-01-20,295.560547,295.795807,291.141144,293.288300,293.288300,21131400
2012-01-23,293.293304,294.624634,291.871857,293.053040,293.053040,6818900
2012-01-24,293.453461,294.134125,289.289276,290.755768,290.755768,6105400
2012-01-25,289.044037,289.644653,283.473480,285.030029,285.030029,9965400
2012-01-26,286.276276,287.527527,282.557556,284.334320,284.334320,6445900
2012-01-27,285.675690,290.450439,284.949951,290.280273,290.280273,7227700
2012-01-30,289.314301,290.290283,286.987000,289.134125,289.134125,4656300
2012-01-31,291.791779,292.292297,287.862854,290.345337,290.345337,4280500
2012-02-01,292.762756,293.043030,289.859863,290.705719,290.705719,4636700
2012-02-02,292.727722,293.498505,291.331329,292.847839,292.847839,4824500
2012-02-03,295.625641,298.833832,294.319305,298.463470,298.463470,6330600
2012-02-06,297.802795,305.720734,297.302307,304.849854,304.849854,7351800
2012-02-07,303.878876,305.000000,302.182190,303.688690,303.688690,4180000
2012-02-08,304.624634,305.980988,302.672668,305.230225,305.230225,3669100
2012-02-09,306.316315,307.557556,304.804810,306.036041,306.036041,4524800
2012-02-10,304.244232,304.369354,302.302307,303.258270,303.258270,4645700
2012-02-13,305.555542,307.227234,305.315308,306.406403,306.406403,3628900
2012-02-14,306.076080,306.306305,302.682678,305.185181,305.185181,3603700
2012-02-15,306.771759,306.771759,301.581573,303.083069,303.083069,4846900
2012-02-16,301.711700,304.709717,299.164154,303.563568,303.563568,5056700
2012-02-17,302.787781,304.119110,301.501495,302.622620,302.622620,4893300
2012-02-21,302.237244,309.249237,301.741730,307.307312,307.307312,4956600
2012-02-22,306.286285,308.698700,303.658661,304.274261,304.274261,3930000
2012-02-23,303.803802,304.274261,300.475464,303.358368,303.358368,4105800
2012-02-24,303.978973,306.131134,303.058044,305.255249,305.255249,3867300
2012-02-27,303.598602,306.486481,302.832825,304.959961,304.959961,3624100
2012-02-28,305.305298,310.195190,304.144135,309.504517,309.504517,5689500
2012-02-29,309.609619,313.113098,308.058044,309.434448,309.434448,6267500
2012-03-01,311.441437,313.163177,309.384399,311.511505,311.511505,4470900
2012-03-02,311.311310,312.312317,310.470459,310.935944,310.935944,3143400
2012-03-05,310.525513,311.556549,305.996002,307.432434,307.432434,3183400
2012-03-06,304.329315,304.709717,297.217224,302.782776,302.782776,6342400
2012-03-07,304.829834,305.900909,303.233246,303.703705,303.703705,2526400
2012-03-08,305.325317,306.056061,303.478485,303.873871,303.873871,2688300
2012-03-09,304.279266,306.256256,300.300293,300.425415,300.425415,5335800
2012-03-12,300.300293,303.803802,299.929932,302.877869,302.877869,3334600
2012-03-13,304.679688,309.234222,303.078064,309.199188,309.199188,4487100
2012-03-14,307.807800,311.701691,307.037048,308.303314,308.303314,5867900
2012-03-15,308.608612,312.062073,307.722717,310.875885,310.875885,4865300
2012-03-16,310.755768,313.268280,310.335327,312.832825,312.832825,6094800
2012-03-19,311.871857,318.953949,310.930939,317.307312,317.307312,4341200
2012-03-20,315.775787,318.348358,313.948944,317.062073,317.062073,3077900
2012-03-21,317.622620,324.019012,316.571564,320.310303,320.310303,4934200
2012-03-22,319.569580,324.724731,315.815826,323.348358,323.348358,4815500
2012-03-23,323.623627,324.574585,320.770782,321.616608,321.616608,3876500
2012-03-26,322.822815,325.070068,320.090088,324.989990,324.989990,3634700
2012-03-27,323.838837,327.077087,322.722717,323.833832,323.833832,4010300
2012-03-28,326.341339,329.624634,325.865875,328.208221,328.208221,5072700
2012-03-29,327.047058,328.623627,322.472473,324.529541,324.529541,3844700
2012-03-30,326.201202,327.072083,320.820831,320.940948,320.940948,4616700
2012-04-02,320.705719,324.074066,317.737732,323.783783,323.783783,4563800
2012-04-03,323.028015,324.299286,319.639648,321.631622,321.631622,4085700
2012-04-04,319.544556,319.819824,315.865875,317.892883,317.892883,3251900
2012-04-05,316.436432,318.533539,314.599609,316.476471,316.476471,4632700
2012-04-09,314.554565,317.982971,312.957947,315.735748,315.735748,4361000
2012-04-10,317.077087,317.567566,312.587585,313.743744,313.743744,4959000
2012-04-11,317.302307,318.318329,315.965973,318.298309,318.298309,4393600
2012-04-12,321.496490,326.896912,320.450439,325.830841,325.830841,11501600
2012-04-13,324.099091,324.819824,312.082092,312.612610,312.612610,16302200
2012-04-16,311.811798,312.217224,301.131134,303.338348,303.338348,11372800
2012-04-17,304.584595,309.154144,303.808807,305.090088,305.090088,6041700
2012-04-18,304.329315,306.706696,301.706696,304.029022,304.029022,5333600
2012-04-19,303.148163,308.438446,299.799805,299.949951,299.949951,6582600
2012-04-20,302.427429,304.729736,298.213226,298.328339,298.328339,6110600
2012-04-23,296.746735,299.524536,295.395386,299.099091,299.099091,4391200
2012-04-24,299.419434,303.618622,298.958954,300.935944,300.935944,3854300
2012-04-25,302.302307,305.980988,301.741730,305.165161,305.165161,3638500
2012-04-26,305.760773,309.309296,305.155151,308.043030,308.043030,4180800
2012-04-27,307.817810,308.678680,305.605591,307.797791,307.797791,3269500
2012-04-30,306.801788,308.348358,300.605591,302.727722,302.727722,4809700
2012-05-01,302.197205,306.106110,300.395386,302.517517,302.517517,4000500
2012-05-02,300.900909,304.359344,300.605591,303.933929,303.933929,3219700
2012-05-03,305.115112,307.722717,304.779785,305.815826,305.815826,3732200
2012-05-04,303.263275,304.249237,298.703705,298.783783,298.783783,4410300
2012-05-07,297.797791,305.590576,297.797791,304.079071,304.079071,3985000
2012-05-08,303.068054,308.758759,300.650665,306.701691,306.701691,5349200
2012-05-09,303.713715,308.498505,301.206207,304.879883,304.879883,4652900
2012-05-10,306.786774,308.403412,305.420410,307.137146,307.137146,3068700
2012-05-11,305.480469,307.582581,302.687683,302.917908,302.917908,4194600
2012-05-14,300.690704,304.554565,300.590576,302.302307,302.302307,3645100
2012-05-15,302.977966,307.807800,302.177185,305.860870,305.860870,4199900
2012-05-16,309.289276,315.365356,308.278290,314.779785,314.779785,9660500
2012-05-17,317.232239,319.244232,310.925934,311.836823,311.836823,6700800
2012-05-18,312.862854,316.526520,298.648651,300.500488,300.500488,11935000
2012-05-21,300.555542,308.153168,300.300293,307.362366,307.362366,6144600
2012-05-22,307.027039,307.212219,298.298309,300.700714,300.700714,6097600
2012-05-23,301.126129,305.105103,298.858856,305.035034,305.035034,6349800
2012-05-24,304.884888,306.266266,299.734741,302.132141,302.132141,3778800
2012-05-25,300.800812,301.166168,294.434448,296.061066,296.061066,7156600
2012-05-29,298.203217,299.864868,294.454468,297.467468,297.467468,5206100
2012-05-30,294.374359,296.246246,292.057068,294.409424,294.409424,3809500
2012-05-31,294.654663,295.295288,289.789795,290.720734,290.720734,5930600
2012-06-01,286.181183,286.611603,284.459473,285.775787,285.775787,6109600
2012-06-04,285.395386,290.535522,285.290283,289.584595,289.584595,4860500
2012-06-05,288.013000,289.354340,283.518524,285.490479,285.490479,4675100
2012-06-06,288.528534,291.276276,287.092102,290.575562,290.575562,4187400
2012-06-07,294.094086,294.239227,288.913910,289.404419,289.404419,3513400
2012-06-08,288.213226,290.790802,287.577576,290.515503,290.515503,2817900
2012-06-11,292.397400,292.952942,283.628632,284.534546,284.534546,5316800
2012-06-12,285.170166,285.435425,279.569580,282.832825,282.832825,6441900
2012-06-13,281.141144,283.783783,279.619629,280.825836,280.825836,3904400
2012-06-14,280.930939,282.817810,278.538544,279.804810,279.804810,4685100
2012-06-15,280.450439,282.542542,278.823822,282.537537,282.537537,5996300
2012-06-18,281.591583,287.392395,279.904907,285.710724,285.710724,4988800
2012-06-19,287.082092,292.432434,286.846832,291.056061,291.056061,4148200
2012-06-20,290.195190,290.290283,287.042053,289.044037,289.044037,4688700
2012-06-21,290.210205,290.210205,282.147156,282.887878,282.887878,4018500
2012-06-22,284.284271,286.026031,283.193207,286.026031,286.026031,4451300
2012-06-25,283.948944,284.329315,278.953949,280.630646,280.630646,3160000
2012-06-26,281.661652,283.583588,280.020020,282.622620,282.622620,2697600
2012-06-27,284.134125,287.282288,283.293304,284.934937,284.934937,3381200
2012-06-28,283.233246,283.398407,278.883881,282.437439,282.437439,3837900
2012-06-29,287.767761,290.355347,286.386383,290.325317,290.325317,5033900
2012-07-02,291.201202,291.791779,288.538544,290.525513,290.525513,3307600
2012-07-03,290.295288,294.499512,289.289276,294.209198,294.209198,2376600
2012-07-05,294.674683,300.330322,294.564575,298.258270,298.258270,4687100
2012-07-06,296.521515,297.057068,291.701691,293.283295,293.283295,4319200
2012-07-09,292.767761,294.594604,290.915924,293.298309,293.298309,3426700
2012-07-10,295.390381,296.511505,289.659668,291.141144,291.141144,3842300
2012-07-11,288.438446,289.214203,282.752747,285.880890,285.880890,6991600
2012-07-12,283.843842,286.251251,281.326324,285.525513,285.525513,4614900
2012-07-13,286.361359,289.864868,284.559570,288.548553,288.548553,3948000
2012-07-16,288.473480,289.884888,286.176178,287.747742,287.747742,2922200
2012-07-17,289.504517,290.625641,284.484497,288.653656,288.653656,3356800
2012-07-18,288.778778,292.137146,288.353363,290.670685,290.670685,3093300
2012-07-19,293.363373,299.539551,293.293304,296.826813,296.826813,9340000
2012-07-20,304.684692,306.776764,299.389404,305.715729,305.715729,12914400
2012-07-23,300.540527,309.484497,299.424438,308.063049,308.063049,7116200
2012-07-24,307.807800,309.274261,302.472473,304.089081,304.089081,4014700
2012-07-25,304.464478,306.997009,302.987976,304.299286,304.299286,3642300
2012-07-26,307.807800,308.743744,305.320313,306.987000,306.987000,3367000
2012-07-27,309.754761,317.817810,309.059052,317.797791,317.797791,7092300
2012-07-30,318.343353,321.621613,315.065063,316.466461,316.466461,4369000
2012-07-31,314.444458,318.568573,314.424438,316.801788,316.801788,3727400
2012-08-01,318.968964,320.075073,316.006012,316.656647,316.656647,3685500
2012-08-02,313.068054,319.334320,312.017029,314.689697,314.689697,3951400
2012-08-03,320.320313,322.182190,318.388397,320.985992,320.985992,3790400
2012-08-06,320.125122,325.015015,319.929932,321.731720,321.731720,3561200
2012-08-07,321.216217,322.452454,318.553558,320.590576,320.590576,3959600
2012-08-08,319.844849,323.258270,319.569580,321.436432,321.436432,2641700
2012-08-09,322.577576,323.508514,321.081085,321.496490,321.496490,2138400
2012-08-10,319.614624,321.441437,318.383392,321.321320,321.321320,2866300
2012-08-13,324.034027,330.405396,323.663666,330.335327,330.335327,6529200
2012-08-14,329.954956,336.761749,329.829834,334.664673,334.664673,7316000
2012-08-15,335.475464,337.462463,332.382385,334.104095,334.104095,4816500
2012-08-16,334.089081,337.657654,333.873871,336.771759,336.771759,3431900
2012-08-17,337.397400,338.963959,336.186188,338.908905,338.908905,4351000
2012-08-20,338.088074,339.774780,336.666656,338.108093,338.108093,3512600
2012-08-21,336.891907,339.339325,331.416412,335.090088,335.090088,4439900
2012-08-22,334.024017,340.640656,333.683685,338.928925,338.928925,3814500
2012-08-23,337.472473,340.580566,335.835846,338.738739,338.738739,3564800
2012-08-24,338.138153,340.565552,337.377380,339.654663,339.654663,2850300
2012-08-27,331.826813,336.336334,329.949951,334.944946,334.944946,5222100
2012-08-28,332.832825,339.149139,332.702698,338.963959,338.963959,4113000
2012-08-29,339.024017,344.839844,338.413422,344.349335,344.349335,5974600
2012-08-30,342.462463,344.039032,340.430420,341.181183,341.181183,3250500
2012-08-31,342.342346,344.634644,340.360352,342.887878,342.887878,4249900
2012-09-04,342.617615,342.842834,337.087097,340.860870,340.860870,3775400
2012-09-05,340.340332,343.593597,339.909912,340.700714,340.700714,3412900
2012-09-06,343.323334,350.295288,342.707703,350.050049,350.050049,6080900
2012-09-07,350.350342,356.481476,349.184174,353.428436,353.428436,6459500
2012-09-10,355.235229,356.761749,349.544556,350.735748,350.735748,5114800
2012-09-11,349.329315,350.675690,345.845856,346.441437,346.441437,3743800
2012-09-12,345.050049,347.802795,340.780792,345.785797,345.785797,5279300
2012-09-13,346.891907,354.854858,345.615601,353.373383,353.373383,5312600
2012-09-14,355.155151,356.856842,353.858856,355.195190,355.195190,5231700
2012-09-17,354.409424,356.796783,352.852844,355.345337,355.345337,3013500
2012-09-18,354.244232,359.689697,353.743744,359.499512,359.499512,4129400
2012-09-19,359.109100,364.644653,358.563568,364.114105,364.114105,6190400
2012-09-20,362.597595,366.056061,360.970978,364.424438,364.424438,5808900
2012-09-21,366.471466,367.827820,365.425415,367.362366,367.362366,12705400
2012-09-24,365.865875,375.395386,365.490479,375.065063,375.065063,7120400
2012-09-25,376.901917,382.827820,374.204193,374.954956,374.954956,12104800
2012-09-26,375.300293,381.001007,370.870880,377.107117,377.107117,11334400
2012-09-27,380.355347,381.801788,376.201202,378.628632,378.628632,7854300
2012-09-28,377.452454,380.030029,375.950958,377.627625,377.627625,5561400
2012-10-01,379.904907,382.882874,378.483490,381.271271,381.271271,6329600
2012-10-02,382.982971,383.378387,375.510498,378.873871,378.873871,5574800
2012-10-03,378.238251,382.342346,376.476471,381.631622,381.631622,4412100
2012-10-04,381.756744,385.330322,380.080078,384.409424,384.409424,4903400
2012-10-05,385.740753,387.577576,382.887878,384.209198,384.209198,5466300
2012-10-08,380.880890,382.172180,377.452454,379.299286,379.299286,3913200
2012-10-09,380.215210,381.041046,371.636627,372.417419,372.417419,6000300
2012-10-10,371.301300,374.139130,369.514526,372.652649,372.652649,4075700
2012-10-11,376.826813,379.629639,375.520508,376.116119,376.116119,4763000
2012-10-12,376.301300,377.812805,372.422424,372.747742,372.747742,4803500
2012-10-15,371.341339,372.287292,365.715729,370.860870,370.860870,6032100
2012-10-16,370.435425,373.868866,368.598602,372.722717,372.722717,4112200
